epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9438,2.46838,33.9852,1.34891,0,0,0,0,4.28518,12.1514,2.85394,0.00065625,0.00065625,0.00065625
2,27.9096,2.76148,31.3847,1.54834,0,0,0,0,4.30094,11.6801,2.88258,0.00129672,0.00129672,0.00129672
3,33.9953,2.03284,42.4984,0.99009,0,0,0,0,3.06219,517.896,1.60614,0.0019108,0.0019108,0.0019108
4,42.4482,2.41468,168.647,1.26431,0.00229,0.6875,0.00199,0.00049,3.45949,2683.28,2.39712,0.0018812,0.0018812,0.0018812
5,48.9578,2.58071,186.575,1.35736,0.00021,0.0625,0.00011,2e-05,3.93964,60.0419,2.5376,0.0018416,0.0018416,0.0018416
6,56.9014,2.6893,174.202,1.30291,0,0,0,0,3.69084,61.061,2.47343,0.001802,0.001802,0.001802
7,63.2808,2.56601,173.106,1.32061,0,0,0,0,3.69653,67.1963,2.50893,0.0017624,0.0017624,0.0017624
8,71.2217,2.4853,185.875,1.26516,0,0,0,0,3.70914,58.3783,2.49423,0.0017228,0.0017228,0.0017228
9,77.5394,2.61798,69.4833,1.38631,0.00021,0.0625,0.00012,2e-05,2.3814,inf,6.86801,0.0016832,0.0016832,0.0016832
10,85.4024,2.41869,14.3908,1.2602,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,91.7391,2.844,6.52378,1.41375,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
12,99.4532,2.54827,5.14,1.37878,0.0034,1,0.12114,0.0306,2.67295,2.59355,2.12746,0.0015644,0.0015644,0.0015644
13,106.043,2.73234,3.92637,1.35182,0.13051,0.1875,0.1478,0.02964,3.85021,2.47802,2.25717,0.0015248,0.0015248,0.0015248
14,114.906,2.71525,3.2713,1.50893,0.08256,0.4375,0.08624,0.02128,2.91438,2.51893,2.51844,0.0014852,0.0014852,0.0014852
15,121.613,2.19669,2.96074,1.14621,0.20841,0.4375,0.20612,0.05784,2.66939,2.2864,1.98594,0.0014456,0.0014456,0.0014456
16,129.305,2.09286,6.32683,1.25246,0.22182,0.875,0.29836,0.06445,2.8561,2.69572,2.43177,0.001406,0.001406,0.001406
17,138.661,2.00242,2.44791,1.19219,0.24885,0.625,0.30251,0.09678,2.47057,2.04478,2.24193,0.0013664,0.0013664,0.0013664
18,145.33,2.0224,2.01028,1.10983,0.24648,0.25,0.2986,0.0924,2.21131,2.1807,1.92952,0.0013268,0.0013268,0.0013268
19,153.845,1.8235,2.51975,1.0546,0.3213,0.71051,0.3798,0.1518,2.07419,2.24015,1.88099,0.0012872,0.0012872,0.0012872
20,160.469,1.70989,1.81323,1.03235,0.2615,0.5625,0.33183,0.13515,2.19958,2.45651,1.87685,0.0012476,0.0012476,0.0012476
21,168.503,1.53372,1.69741,0.90587,0.45275,0.9375,0.62291,0.27919,2.05749,1.50465,1.69188,0.001208,0.001208,0.001208
22,174.857,1.46194,1.43922,0.94765,0.42273,0.82411,0.6259,0.22364,1.99318,1.59498,1.6937,0.0011684,0.0011684,0.0011684
23,182.831,1.56524,1.35763,0.94608,0.57415,0.75873,0.71626,0.31506,1.78183,1.42673,1.57481,0.0011288,0.0011288,0.0011288
24,189.36,1.47013,1.20807,0.94187,0.60756,0.87101,0.77191,0.41065,1.6822,1.6141,1.5058,0.0010892,0.0010892,0.0010892
25,197.73,1.52314,1.20613,0.93744,0.47195,0.83843,0.69557,0.36072,1.777,1.39636,1.48365,0.0010496,0.0010496,0.0010496
26,204.307,1.45356,1.11352,0.8585,0.45286,0.77651,0.70509,0.34089,1.79677,1.38945,1.45123,0.00101,0.00101,0.00101
27,211.769,1.4335,1.26881,0.9044,0.59254,0.5625,0.7284,0.32758,1.93796,1.38587,1.42881,0.0009704,0.0009704,0.0009704
